scenario,region,fuel,Units,1990,2005,2010,2015,2020,2025,2030,2035
Enhanced Ambition,IL,elect_td_bld,1975$/GJ,14.4579,12.8542,12.9613,12.3894,8.1714,7.65771,8.50013,8.50058
Enhanced Ambition,IN,elect_td_bld,1975$/GJ,14.5119,13.047,13.2295,12.5698,8.1088,8.02289,9.6735,9.90929
Enhanced Ambition,KS,elect_td_bld,1975$/GJ,12.558,11.9027,11.8296,9.85647,7.50741,7.00705,7.27297,7.63043
Enhanced Ambition,KY,elect_td_bld,1975$/GJ,14.5119,13.047,13.2295,12.5698,8.10807,8.02185,9.67097,9.90604
Enhanced Ambition,LA,elect_td_bld,1975$/GJ,15.1924,13.553,13.4676,12.0234,7.94628,7.77038,8.20501,8.75697
Enhanced Ambition,MA,elect_td_bld,1975$/GJ,15.6231,15.0862,15.0397,13.1455,9.02867,8.16843,8.61452,8.56934
Enhanced Ambition,MD,elect_td_bld,1975$/GJ,14.5636,13.5001,13.5369,12.2164,8.63638,7.57396,7.63092,7.93925
Enhanced Ambition,ME,elect_td_bld,1975$/GJ,15.6231,15.0862,15.0397,13.1455,9.02888,8.16863,8.61491,8.57007
Enhanced Ambition,MI,elect_td_bld,1975$/GJ,14.5119,13.047,13.2295,12.5698,8.10671,8.01959,9.66359,9.89445
Enhanced Ambition,Mid-Atlantic grid,delivered gas,1975$/GJ,2.57013,3.63736,3.6463,2.74328,2.46283,2.77169,2.49314,2.31696
Enhanced Ambition,Mid-Atlantic grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Enhanced Ambition,MN,elect_td_bld,1975$/GJ,14.328,12.6013,12.4122,11.6872,7.78492,7.42254,8.61346,8.6637
Enhanced Ambition,MO,elect_td_bld,1975$/GJ,14.4579,12.8542,12.9613,12.3894,8.17192,7.65812,8.50113,8.50343
Enhanced Ambition,MS,elect_td_bld,1975$/GJ,15.1924,13.553,13.4676,12.0234,7.94673,7.77107,8.20607,8.75807
Enhanced Ambition,MT,elect_td_bld,1975$/GJ,14.799,12.8468,12.817,11.9321,7.67312,6.85734,7.2016,7.36164
