"","scenario","sector","technology","subsector","Units","USREP_region","year","invest","PercentChangeFromCPOL"
"197","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","Midwest","2020",0.01407207575441,0
"198","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","Midwest","2025",0.01684111078446,0
"199","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","Midwest","2030",0.0137819341305968,0
"200","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","Midwest","2035",0.0185243782451812,0
"201","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","NewEngland","2020",0.05919779990988,0
"202","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","NewEngland","2025",0.07385479965347,0
"203","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","NewEngland","2030",0.0626916920677573,0
"204","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","NewEngland","2035",0.0869036767600936,0
"205","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","PacificNorthwest","2020",0.00136454154048,0
"206","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","PacificNorthwest","2025",0.00154700959143,0
"207","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","PacificNorthwest","2030",0.00122446267665756,0
"208","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","PacificNorthwest","2035",0.00161489290536452,0
"209","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","RockiesCentral","2020",0.0024127531085,0
"210","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","RockiesCentral","2025",0.00281860377755,0
"211","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","RockiesCentral","2030",0.00226818088869112,0
"212","Current Policies","resid heating","fuel furnace hi-eff","refined liquids","Billions 1975$","RockiesCentral","2035",0.0030080856540342,0
