"","scenario","subsector","Units","USREP_region","year","value","PercentChangeFromCPOL"
"306","Enhanced Ambition","coal","Billions 1975$","West","2025",NA,NA
"307","Enhanced Ambition","coal","Billions 1975$","West","2030",NA,NA
"308","Enhanced Ambition","coal","Billions 1975$","West","2035",NA,NA
"309","Enhanced Ambition","electricity","Billions 1975$","AK-HI","2020",0.08173416892443,0.00832571697480233
"310","Enhanced Ambition","electricity","Billions 1975$","AK-HI","2025",0.099255174151865,0.00195111128371472
"311","Enhanced Ambition","electricity","Billions 1975$","AK-HI","2030",0.10703372347911,-0.00706828433811757
"312","Enhanced Ambition","electricity","Billions 1975$","AK-HI","2035",0.121175693098525,-0.0552241738296179
"313","Enhanced Ambition","electricity","Billions 1975$","Appalachia","2020",2.00490722812063,0.0115911226180054
"314","Enhanced Ambition","electricity","Billions 1975$","Appalachia","2025",2.21711680744177,0.00494593767983864
"315","Enhanced Ambition","electricity","Billions 1975$","Appalachia","2030",2.61304922994321,0.0633745341422161
"316","Enhanced Ambition","electricity","Billions 1975$","Appalachia","2035",2.87977238921264,0.0070762647983218
"317","Enhanced Ambition","electricity","Billions 1975$","GulfCoast","2020",1.18656884384568,0.00788683515640787
"318","Enhanced Ambition","electricity","Billions 1975$","GulfCoast","2025",1.24432796024114,0.00592911198779045
"319","Enhanced Ambition","electricity","Billions 1975$","GulfCoast","2030",1.35130627704757,0.0266345866377222
"320","Enhanced Ambition","electricity","Billions 1975$","GulfCoast","2035",1.41492591255306,-0.0576290897228999
"321","Enhanced Ambition","electricity","Billions 1975$","MidA","2020",1.82714646087519,0.0198982326785804
"322","Enhanced Ambition","electricity","Billions 1975$","MidA","2025",1.9354307408718,0.0118411589320746
"323","Enhanced Ambition","electricity","Billions 1975$","MidA","2030",2.1201074988573,0.0319136280142012
"324","Enhanced Ambition","electricity","Billions 1975$","MidA","2035",2.3156694502236,-0.0187155251989458
"325","Enhanced Ambition","electricity","Billions 1975$","Midcontinent","2020",1.05388126871509,0.0110995941671008
"326","Enhanced Ambition","electricity","Billions 1975$","Midcontinent","2025",1.15513144756632,0.00713576186696496
"327","Enhanced Ambition","electricity","Billions 1975$","Midcontinent","2030",1.31541329666179,0.0620093027676831
"328","Enhanced Ambition","electricity","Billions 1975$","Midcontinent","2035",1.38553348557489,-0.0250642788666491
"329","Enhanced Ambition","electricity","Billions 1975$","Midwest","2020",1.40927349436017,0.0088318799703373
"330","Enhanced Ambition","electricity","Billions 1975$","Midwest","2025",1.77010313570663,0.00825172168431254
"331","Enhanced Ambition","electricity","Billions 1975$","Midwest","2030",2.36322184064325,0.138918305657579
"332","Enhanced Ambition","electricity","Billions 1975$","Midwest","2035",2.86101619311475,0.168403209760066
"333","Enhanced Ambition","electricity","Billions 1975$","NewEngland","2020",0.73344838731217,-0.000944199198449125
"334","Enhanced Ambition","electricity","Billions 1975$","NewEngland","2025",1.01078644131677,-0.00656001156446717
"335","Enhanced Ambition","electricity","Billions 1975$","NewEngland","2030",1.50444342884994,0.181601982811575
"336","Enhanced Ambition","electricity","Billions 1975$","NewEngland","2035",2.00824514729143,0.288242073865321
"337","Enhanced Ambition","electricity","Billions 1975$","PacificNorthwest","2020",0.77132723104743,0.0148052497869424
"338","Enhanced Ambition","electricity","Billions 1975$","PacificNorthwest","2025",0.77794091130766,0.0135173290023001
"339","Enhanced Ambition","electricity","Billions 1975$","PacificNorthwest","2030",0.84909400548032,0.0611775248980373
"340","Enhanced Ambition","electricity","Billions 1975$","PacificNorthwest","2035",0.87543216545712,-0.0452758426873557
"341","Enhanced Ambition","electricity","Billions 1975$","RockiesCentral","2020",0.36764755294358,0.0061050086647938
"342","Enhanced Ambition","electricity","Billions 1975$","RockiesCentral","2025",0.43638105018812,0.00425858970521453
"343","Enhanced Ambition","electricity","Billions 1975$","RockiesCentral","2030",0.57554111512859,0.126364868194947
"344","Enhanced Ambition","electricity","Billions 1975$","RockiesCentral","2035",0.72124467727586,0.190439837278247
"345","Enhanced Ambition","electricity","Billions 1975$","SouthAtlantic","2020",2.10348596803593,0.0133644334371501
"346","Enhanced Ambition","electricity","Billions 1975$","SouthAtlantic","2025",2.19052583184071,0.0117348110629472
"347","Enhanced Ambition","electricity","Billions 1975$","SouthAtlantic","2030",2.29164625268606,0.0368716044590569
"348","Enhanced Ambition","electricity","Billions 1975$","SouthAtlantic","2035",2.19877000904115,-0.112197962422169
"349","Enhanced Ambition","electricity","Billions 1975$","West","2020",0.67793165371902,0.00546011884028497
"350","Enhanced Ambition","electricity","Billions 1975$","West","2025",0.79597720638184,0.00237416076214858
